title,Date
"Henry VI, part 2",1
"Henry VI, part 3",2
Richard III,4
The Comedy of Errors,5
Titus Andronicus,6
Venus and Adonis,7
The Rape of Lucrece,8
Taming of the Shrew,9
Two Gentlemen of Verona,10
Love's Labours Lost,11
Romeo and Juliet,12
Richard II,13
A Midsummer Night's Dream,14
King John,15
The Merchant of Venice,16
"Henry IV, part 1",17
"Henry VI, part 1",18
"Henry IV, part 2",19
Much Ado About Nothing,20
Henry V,21
Julius Caesar,22
As You Like It,23
Twelfth Night,24
Hamlet,25
The\nMerry Wives of Windsor,26
Troilus and Cressida,27
All's Well That Ends Well,28
Measure for Measure,29
Othello,30
King Lear,31
Macbeth,32
Antony and Cleopatra,33
Coriolanus,34
The Sonnets,35
Funeral Elegy by W.S.,36
Timon of Athens,37
"Pericles, Prince of Tyre",38
Cymbeline,39
Winter's Tale,40
The Tempest,41
Henry VIII,42
A Lover's Complaint,43
